Datetime,Hash,Commit Msg,Filename,Removed Test Case,Manual Validation,Final Results,Ajay Manual Validation,Suraj Manual Validation,Ajay Comments,Suraj Comments,,,,
07/25/2002 20:40:11,e950d9b37e97f8573f0655520b88900e8acb2869,"Removed two broken methods from StringUtils.  Since a beta has gone out,
this is not good practice.  However, since 1.0 final has not yet been
released, it is out-weighed by the trade off of releasing code that just
plain doesn't work.

Use str.getBytes(encoding) in place of convertUnicodeToNative().

Use new String(byte[], encoding) in place of convertNativeToUnicode().


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/lang/trunk@136945 13f79535-47bb-0310-9956-ffa450edef68",StringUtilsTest.java,testUnicodeFunctions,yes,yes,yes,yes,empty test,,,,,972
09/12/2002 17:01:25,dee1c299751cfaa830ba28ab9fb3015e9e1eb28f,"New builder subpackage created


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/lang/trunk@137020 13f79535-47bb-0310-9956-ffa450edef68",HashCodeBuilderTest.java,testConstructorEx1,yes,yes,yes,yes,,could have been duplicated in previous/next commit,,,,
,,,,testConstructorEx2,yes,yes,yes,yes,,could have been duplicated in previous/next commit,,,,
,,,,testObject,yes,yes,yes,yes,,could have been duplicated in previous/next commit,,,,
,,,,testLong,yes,yes,yes,yes,,could have been duplicated in previous/next commit,,,,
,,,,testInt,yes,yes,yes,yes,,could have been duplicated in previous/next commit,,,,
,,,,testShort,yes,yes,yes,yes,,could have been duplicated in previous/next commit,,,,
,,,,testChar,yes,yes,yes,yes,,could have been duplicated in previous/next commit,,,,
,,,,testByte,yes,yes,yes,yes,,could have been duplicated in previous/next commit,,,,
,,,,testDouble,yes,yes,yes,yes,,could have been duplicated in previous/next commit,,,,
,,,,testFloat,yes,yes,yes,yes,,could have been duplicated in previous/next commit,,,,
,,,,testBoolean,yes,yes,yes,yes,,could have been duplicated in previous/next commit,,,,
,,,,testObjectArray,yes,yes,yes,yes,,could have been duplicated in previous/next commit,,,,
,,,,testLongArray,yes,yes,yes,yes,,could have been duplicated in previous/next commit,,,,
,,,,testIntArray,yes,yes,yes,yes,,could have been duplicated in previous/next commit,,,,
,,,,testShortArray,yes,yes,yes,yes,,could have been duplicated in previous/next commit,,,,
,,,,testCharArray,yes,yes,yes,yes,,could have been duplicated in previous/next commit,,,,
,,,,testByteArray,yes,yes,yes,yes,,could have been duplicated in previous/next commit,,,,
,,,,testDoubleArray,yes,yes,yes,yes,,could have been duplicated in previous/next commit,,,,
,,,,testFloatArray,yes,yes,yes,yes,,could have been duplicated in previous/next commit,,,,
,,,,testBooleanArray,yes,yes,yes,yes,,could have been duplicated in previous/next commit,,,,
11/06/2002 13:09:00,80f68cc0c4f7bba91432f1ca3a0eeac80152a99d,"Closure deemed to be a bad name. Bye bye.


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/lang/trunk@137113 13f79535-47bb-0310-9956-ffa450edef68",TestClosureUtils.java,testExceptionClosure,yes,yes,yes,yes,,,,,,
,,,,testNopClosure,yes,yes,yes,yes,,,,,,
,,,,testInvokeClosure,yes,yes,yes,yes,,,,,,
,,,,testForClosure,yes,yes,yes,yes,,,,,,
,,,,testWhileClosure,yes,yes,yes,yes,,,,,,
,,,,testDoWhileClosure,yes,yes,yes,yes,,,,,,
,,,,testChainedClosure,yes,yes,yes,yes,,,,,,
,,,,testChainedClosureEx1a,yes,yes,yes,yes,,,,,,
,,,,testChainedClosureEx1b,yes,yes,yes,yes,,,,,,
,,,,testChainedClosureEx1c,yes,yes,yes,yes,,,,,,
,,,,testChainedClosureEx2,yes,yes,yes,yes,,,,,,
,,,,testChainedClosureEx3,yes,yes,yes,yes,,,,,,
,,,,testChainedClosureEx4,yes,yes,yes,yes,,,,,,
,,,,testChainedClosureEx5,yes,yes,yes,yes,,,,,,
,,,,testSwitchClosure,yes,yes,yes,yes,,,,,,
,,,,testSwitchClosureEx1a,yes,yes,yes,yes,,,,,,
,,,,testSwitchClosureEx1b,yes,yes,yes,yes,,,,,,
,,,,testSwitchClosureEx1c,yes,yes,yes,yes,,,,,,
,,,,testSwitchClosureEx2,yes,yes,yes,yes,,,,,,
,,,,testSwitchClosureEx3,yes,yes,yes,yes,,,,,,
,,,,testSwitchClosureEx4,yes,yes,yes,yes,,,,,,
,,,,testSwitchClosureEx5,yes,yes,yes,yes,,,,,,
,,,,testSwitchClosureEx6,yes,yes,yes,yes,,,,,,
,,,,testSwitchMapClosure,yes,yes,yes,yes,,,,,,
,,,,testSwitchMapClosureEx1,yes,yes,yes,yes,,,,,,
,,,,testSwitchMapClosureEx2,yes,yes,yes,yes,,,,,,
12/08/2002 15:38:19,19248809e78867606fe25c223ca9993554b1ff3b,"Rework to support nulls properly
Add support for comparators


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/lang/trunk@137176 13f79535-47bb-0310-9956-ffa450edef68",CompareToBuilderTest.java,testObjectEx1,conflict,yes,yes,no,,refactor,,,,
,,,,testObjectArrayEx1,conflict,yes,yes,no,,refactor,,,,
12/15/2002 10:54:23,31bf101e023c87ccea92a6e9b06b21dfc403d9e8,"Remove isTrue to BooleanUtils


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/lang/trunk@137183 13f79535-47bb-0310-9956-ffa450edef68",StringUtilsIsTest.java,testIsTrue,yes,yes,yes,yes,,,,,,
05/16/2003 17:17:35,713af7b691bcf202cf5ac8704c58926b656ee223,"Remove functor subpackage


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/lang/trunk@137321 13f79535-47bb-0310-9956-ffa450edef68",TestExecutorUtils.java,testExceptionExecutor,yes,yes,yes,yes,,,,,,
,,,,testNopExecutor,yes,yes,yes,yes,,,,,,
,,,,testInvokeExecutor,yes,yes,yes,yes,,,,,,
,,,,testForExecutor,yes,yes,yes,yes,,,,,,
,,,,testWhileExecutor,yes,yes,yes,yes,,,,,,
,,,,testDoWhileExecutor,yes,yes,yes,yes,,,,,,
,,,,testChainedExecutor,yes,yes,yes,yes,,,,,,
,,,,testChainedExecutorEx1a,yes,yes,yes,yes,,,,,,
,,,,testChainedExecutorEx1b,yes,yes,yes,yes,,,,,,
,,,,testChainedExecutorEx1c,yes,yes,yes,yes,,,,,,
,,,,testChainedExecutorEx2,yes,yes,yes,yes,,,,,,
,,,,testChainedExecutorEx3,yes,yes,yes,yes,,,,,,
,,,,testChainedExecutorEx4,yes,yes,yes,yes,,,,,,
,,,,testChainedExecutorEx5,yes,yes,yes,yes,,,,,,
,,,,testSwitchExecutor,yes,yes,yes,yes,,,,,,
,,,,testSwitchExecutorEx1a,yes,yes,yes,yes,,,,,,
,,,,testSwitchExecutorEx1b,yes,yes,yes,yes,,,,,,
,,,,testSwitchExecutorEx1c,yes,yes,yes,yes,,,,,,
,,,,testSwitchExecutorEx2,yes,yes,yes,yes,,,,,,
,,,,testSwitchExecutorEx3,yes,yes,yes,yes,,,,,,
,,,,testSwitchExecutorEx4,yes,yes,yes,yes,,,,,,
,,,,testSwitchExecutorEx5,yes,yes,yes,yes,,,,,,
,,,,testSwitchExecutorEx6,yes,yes,yes,yes,,,,,,
,,,,testSwitchMapExecutor,yes,yes,yes,yes,,,,,,
,,,,testSwitchMapExecutorEx1,yes,yes,yes,yes,,,,,,
,,,,testSwitchMapExecutorEx2,yes,yes,yes,yes,,,,,,
,,,TestFactoryUtils.java,testExceptionFactory,yes,yes,yes,yes,,,,,,
