Datetime,Hash,Commit Msg,Filename,Removed Test Case,Manual Validation,Final Results,Ajay Manual Validation,Suraj Manual Validation,Ajay Comments,Suraj Comments
05/15/2003 22:55:34,7651a6b14d5be6151432e7d709efd884d9ec3a6c,"* ContractableDoubleArray extends ExpandableDoubleArray - I sense the
need for a DoubleArray interface.

* ExpandableDoubleArray and the extension ContractableDoubleArray should
aim towards presenting a public interface that does not expose any
details of the internal.  To this end, one is no longer able to get the
internal storage array via public double[] getValues(), and the startIndex
(which was relative to the internal storage array) is no longer available.




git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/math/trunk@140833 13f79535-47bb-0310-9956-ffa450edef68",ExpandableDoubleArrayTest.java,testWithInitialCapacitAndExpansionFactor,no,no,no,no,,renamed
,,,,testGetOutOfBounds,yes,yes,yes,yes,,
,,,,testSetOutOfBounds,yes,yes,yes,yes,,
05/17/2003 18:24:21,d6f7028269df96a72cccf7b72a41b89aaa820e9f,"Added a FixedDoubleArray.  FixedDoubleArray supports a rolling mechanism
that reuses an array of fixed length.  This classes was added to an efficient
rolling mechanism.

FixedDoubleArray was influenced by discussions on the commons-dev list and
patches submitted by Mark Diggory.


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/math/trunk@140836 13f79535-47bb-0310-9956-ffa450edef68",ContractableDoubleArrayTest.java,testAdd1000,yes,yes,yes,yes,,duplicated
,,,,testIllegalInitialCapacity,yes,yes,yes,yes,,duplicated
,,,,testIllegalExpansionFactor,yes,yes,yes,yes,,duplicated
05/29/2003 18:25:12,429a652114f94bf81e97a7737f1b3ea63fb3de91,"Removed old Univariate tests


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/math/trunk@140869 13f79535-47bb-0310-9956-ffa450edef68",BeanListUnivariateImplTest.java,testStats,yes,yes,yes,yes,,
,,,,testPropStats,yes,yes,yes,yes,,
,,,BivariateRegressionTest.java,testNorris,yes,yes,yes,yes,,
,,,,testCorr,yes,yes,yes,yes,,
,,,,testNaNs,yes,yes,yes,yes,,
,,,,testClear,yes,yes,yes,yes,,
,,,ListUnivariateImplTest.java,testStats,yes,yes,yes,yes,,
,,,,testN0andN1Conditions,yes,yes,yes,yes,,
,,,,testSkewAndKurtosis,yes,yes,yes,yes,,
,,,,testProductAndGeometricMean,yes,yes,yes,yes,,
,,,StoreUnivariateImplTest.java,testStats,yes,yes,yes,yes,,
,,,,testN0andN1Conditions,yes,yes,yes,yes,,
,,,,testSkewAndKurtosis,yes,yes,yes,yes,,
,,,,testProductAndGeometricMean,yes,yes,yes,yes,,
,,,UnivariateImplTest.java,testStats,yes,yes,yes,yes,,
,,,,testN0andN1Conditions,yes,yes,yes,yes,,
,,,,testProductAndGeometricMean,yes,yes,yes,yes,,
,,,,testRollingMinMax,yes,yes,yes,yes,,
,,,,testNaNContracts,yes,yes,yes,yes,,
06/01/2003 22:44:13,d23bf18b40bc7f731498acd042f6d0c0800a9290,"Licensing issues have prompted the removal of all source reliant on
Gamma.java.  Gamma.java explicitly stated that it was ""based on"" an
implementation from Numerical Recipes in C.  Please see
http://www.nr.com/infotop.html - these implementations (and derivatives
of these works) are covered under restrictive licensing terms.  This
code will be removed from the repository until these issues can be
addressed.


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/math/trunk@140875 13f79535-47bb-0310-9956-ffa450edef68",ChiSquareDistributionTest.java,testLowerTailProbability,yes,yes,yes,yes,,
,,,,testUpperTailProbability,yes,yes,yes,yes,,
,,,,testLowerTailValues,yes,yes,yes,yes,,
,,,,testUpperTailValues,yes,yes,yes,yes,,
