Datetime,Hash,Commit Msg,Filename,Removed Test Case,Manual Validation,Final Results,Ajay Manual Validation,Suraj Manual Validation,Ajay Comments,Suraj Comments
03/07/2017 11:39:11,949365da759b3ea009185090fb4b27e75d768793,Incorporate required JCommon classes directly.,XYImageAnnotationTest.java,testEquals,yes,yes,yes,yes,,commented out
,,,,testHashCode,yes,yes,yes,yes,,commented out
,,,,testCloning,yes,yes,yes,yes,,commented out
,,,,testPublicCloneable,yes,yes,yes,yes,,commented out
,,,ImageTitleTest.java,testEquals,yes,yes,yes,yes,,commented out
,,,,testHashcode,yes,yes,yes,yes,,commented out
,,,,testCloning,yes,yes,yes,yes,,commented out
,,,,testWidthAndHeight,yes,yes,yes,yes,,commented out
,,,,testArrangeNN,yes,yes,yes,yes,,commented out
03/09/2017 3:48:20,e4e04e10a80308f2dd5784956d684376faf5b608,Remove deprecated code and update tests.,TimeSeriesTest.java,testEquals3,yes,yes,yes,yes,,
03/09/2017 10:28:04,07059fb93ed38147f8ded82ec8d1bf5400be1952,Remove deprecated classes.,ColorBarTest.java,testEquals,yes,yes,yes,yes,,
,,,,testHashCode,yes,yes,yes,yes,,
,,,,testCloning,yes,yes,yes,yes,,
,,,,testSerialization,yes,yes,yes,yes,,
,,,ContourPlotTest.java,testSerialization,yes,yes,yes,yes,,
03/09/2017 10:36:19,4076fe1df622d29ac05593469b55fb1c229bfce1,Remove deprecated classes.,ContourEntityTest.java,testEquals,yes,yes,yes,yes,,
,,,,testCloning,yes,yes,yes,yes,"Our tool misses some
 removed tests in this commit",
,,,,testSerialization,yes,yes,yes,yes,,
,,,StandardContourToolTipGeneratorTest.java,testSerialization,yes,yes,yes,yes,,
,,,ColorPaletteTest.java,testCloning,yes,yes,yes,yes,,missing other tests? check tool
,,,,testEquals,yes,yes,yes,yes,,
03/10/2017 9:59:03,61220d6f207fdee783a87ad7428baa0d61c7ad79,Remove deprecated code,AbstractRendererTest.java,testSetSeriesVisible,yes,yes,yes,yes,,
,,,,testSetPaint,yes,yes,yes,yes,,
,,,,testSetOutlinePaint,yes,yes,yes,yes,,
,,,,testSetStroke,yes,yes,yes,yes,,
,,,,testSetOutlineStroke,yes,yes,yes,yes,,
,,,,testSetShape,yes,yes,yes,yes,,
,,,,testSetItemLabelsVisible,yes,yes,yes,yes,,
,,,,testSetItemLabelFont,yes,yes,yes,yes,,
,,,,testSetItemLabelPaint,yes,yes,yes,yes,,
,,,,testSetPositiveItemLabelPosition,yes,yes,yes,yes,,
,,,,testSetNegativeItemLabelPosition,yes,yes,yes,yes,,
03/10/2017 12:23:23,1be317c64d9b5b295ca9b519f80f81779b418868,Remove deprecated code,BarChart3DTest.java,testDrawWithNullInfo,yes,yes,yes,yes,,
,,,,testReplaceDataset,yes,yes,yes,yes,,
,,,,testSetSeriesToolTipGenerator,yes,yes,yes,yes,,
,,,,testSetSeriesURLGenerator,yes,yes,yes,yes,,
,,,LineChart3DTest.java,testDrawWithNullInfo,yes,yes,yes,yes,,
,,,,testReplaceDataset,yes,yes,yes,yes,,
,,,,testSetSeriesToolTipGenerator,yes,yes,yes,yes,,
,,,,testSetSeriesURLGenerator,yes,yes,yes,yes,,
,,,StackedBarChart3DTest.java,testDrawWithNullInfo,yes,yes,yes,yes,,
,,,,testReplaceDataset,yes,yes,yes,yes,,
,,,,testSetSeriesToolTipGenerator,yes,yes,yes,yes,,
,,,,testSetSeriesURLGenerator,yes,yes,yes,yes,,
,,,BarRenderer3DTest.java,testEquals,yes,yes,yes,yes,,
,,,,testHashcode,yes,yes,yes,yes,,
,,,,testCloning,yes,yes,yes,yes,,
,,,,testPublicCloneable,yes,yes,yes,yes,,
,,,,testSerialization,yes,yes,yes,yes,,
,,,LineRenderer3DTest.java,testEquals,yes,yes,yes,yes,,
,,,,testHashcode,yes,yes,yes,yes,,
,,,,testCloning,yes,yes,yes,yes,,
,,,,testPublicCloneable,yes,yes,yes,yes,,
,,,,testSerialization,yes,yes,yes,yes,,
,,,StackedBarRenderer3DTest.java,testFindRangeBounds,yes,yes,yes,yes,,
,,,,testEquals,yes,yes,yes,yes,,
,,,,testHashcode,yes,yes,yes,yes,,
,,,,testCloning,yes,yes,yes,yes,,
,,,,testPublicCloneable,yes,yes,yes,yes,,
,,,,testSerialization,yes,yes,yes,yes,,
,,,,testCreateStackedValueList1,yes,yes,yes,yes,,
,,,,testCreateStackedValueList2,yes,yes,yes,yes,,
,,,,testCreateStackedValueList3,yes,yes,yes,yes,,
,,,,testCreateStackedValueList4,yes,yes,yes,yes,,
,,,,testCreateStackedValueList1a,yes,yes,yes,yes,,
,,,,testCreateStackedValueList1b,yes,yes,yes,yes,,
,,,,testCreateStackedValueList1c,yes,yes,yes,yes,,
,,,,testCreateStackedValueList1d,yes,yes,yes,yes,,
,,,,testCreateStackedValueList2a,yes,yes,yes,yes,,
,,,,testCreateStackedValueList2b,yes,yes,yes,yes,,
,,,,testCreateStackedValueList2c,yes,yes,yes,yes,,
,,,,testCreateStackedValueList2d,yes,yes,yes,yes,,
,,,,testCreateStackedValueList3a,yes,yes,yes,yes,,
,,,,testCreateStackedValueList3b,yes,yes,yes,yes,,
,,,,testCreateStackedValueList3c,yes,yes,yes,yes,,
,,,,testCreateStackedValueList3d,yes,yes,yes,yes,,
,,,,testCreateStackedValueList5,yes,yes,yes,yes,,
03/10/2017 12:57:40,79679c0545f5167515d40e2f23f19e91aa691077,Remove deprecated code,SegmentedTimelineAdditionalTest.java,test1,yes,yes,yes,yes,,
,,,,test2,yes,yes,yes,yes,,
