Datetime,Hash,Commit Msg,Filename,Removed Test Case,Manual Validation,Final Results,Ajay Manual Validation,Suraj Manual Validation,Ajay Comments,Suraj Comments
12/18/2003 20:07:36,0e07ac6b2cff63550d7df336355ca63cc05aa40b,"Move from Joda CVS


git-svn-id: https://joda-time.svn.sourceforge.net/svnroot/joda-time/trunk@10 1e1cfbb7-5c0e-0410-a2f0-f98d92ec03a1",TestDateTimeFormat.java,testGetDateTimeInstance,yes,yes,yes,yes,is this test real?,
,,,,testGetPattern,yes,yes,yes,yes,is this test real?,
,,,,testGetChronology,yes,yes,yes,yes,is this test real?,
,,,,testGetTimeZone,yes,yes,yes,yes,is this test real?,
,,,,testGetLocale,yes,yes,yes,yes,is this test real?,
,,,,testGetPrinter,yes,yes,yes,yes,is this test real?,
,,,,testGetParser,yes,yes,yes,yes,is this test real?,
,,,,testEstimatePrintedLength,yes,yes,yes,yes,is this test real?,
,,,,testPrintToSLL,yes,yes,yes,yes,is this test real?,
,,,,testPrintToWLL,yes,yes,yes,yes,is this test real?,
,,,,testPrintToSBRI,yes,yes,yes,yes,is this test real?,
,,,,testPrintToSBL,yes,yes,yes,yes,is this test real?,
,,,,testPrintToWRI,yes,yes,yes,yes,is this test real?,
,,,,testPrintToWL,yes,yes,yes,yes,is this test real?,
,,,,testPrintRI,yes,yes,yes,yes,is this test real?,
,,,,testPrintL,yes,yes,yes,yes,is this test real?,
,,,,testEstimateParsedLength,yes,yes,yes,yes,is this test real?,
,,,,testParseIntoPBSI,yes,yes,yes,yes,is this test real?,
,,,,testParseIntoRWIS,yes,yes,yes,yes,is this test real?,
,,,,testParseIntoRWISI,yes,yes,yes,yes,is this test real?,
,,,,testParseS,yes,yes,yes,yes,is this test real?,
,,,,testParseSL,yes,yes,yes,yes,is this test real?,
12/20/2003 8:11:23,acc5016243117465b83621ea5ff31ae76163d3b8,"Remove usused tests


git-svn-id: https://joda-time.svn.sourceforge.net/svnroot/joda-time/trunk@31 1e1cfbb7-5c0e-0410-a2f0-f98d92ec03a1",TestDateTimeFormat.java,testGetInstanceTZ,yes,yes,yes,yes,is this test real?,
,,,,testGetInstanceTZL,yes,yes,yes,yes,is this test real?,
,,,,testGetInstanceC,yes,yes,yes,yes,is this test real?,
,,,,testGetInstanceCL,yes,yes,yes,yes,is this test real?,
,,,,testForPattern,yes,yes,yes,yes,is this test real?,
,,,,testForStyle,yes,yes,yes,yes,is this test real?,
,,,,testGetPatternForStyle,yes,yes,yes,yes,is this test real?,
,,,TestDateTimeFormatterBuilder.java,testToPrinter,yes,yes,yes,yes,is this test real?,
,,,,testToParser,yes,yes,yes,yes,is this test real?,
,,,,testToFormatter,yes,yes,yes,yes,is this test real?,
,,,,testCanBuildPrinter,yes,yes,yes,yes,is this test real?,
,,,,testCanBuildParser,yes,yes,yes,yes,is this test real?,
