Child Commit Recent Date,Parent,Hash,Deleted Tests Filepath,Deleted Tests,Deleted Tests Location,Deleted Tests With Whole File,Total Deleted Tests,Total Deleted Tests With Whole File
2002-06-28 10:13:50,8770d580c48300322744e2cba18ce0628f6cf830,['73b9f6efe33651347441d0f52ec919335b4a37a0'],['pmd/regress/test/net/sourceforge/pmd/RuleViolationTest.java'],['testStub'],{'pmd/regress/test/net/sourceforge/pmd/RuleViolationTest.java': ['testStub']},"{'Total File': 0, 'Total Tests': 0, 'Files': []}",1,0
2002-07-02 10:11:46,e115567351dc4de84df8212d5c5b18775c72369d,['6a96a5ba113e9a31c338bef1133ab4a21b875094'],['pmd/regress/test/net/sourceforge/pmd/FunctionalTest.java'],['testRemoveMe'],{'pmd/regress/test/net/sourceforge/pmd/FunctionalTest.java': ['testRemoveMe']},"{'Total File': 1, 'Total Tests': 1, 'Files': ['pmd/regress/test/net/sourceforge/pmd/FunctionalTest.java']}",1,1
2002-10-21 10:37:16,bdea301921181455cd2bd194d343ae04512b85fd,['f72dc2d18446f6e2bbd38b0896ec94c990f40a9f'],['pmd/regress/test/net/sourceforge/pmd/symboltable/ClassScopeTest.java'],['test1'],{'pmd/regress/test/net/sourceforge/pmd/symboltable/ClassScopeTest.java': ['test1']},"{'Total File': 0, 'Total Tests': 0, 'Files': []}",1,0
2002-10-21 15:35:43,b14aecd654e2d7f159c31ad2b5eb7b557dab39ef,['8665d850e7fe7cc630ed69ac5bb1d99a17bc8449'],['pmd/regress/test/net/sourceforge/pmd/symboltable/LocalScopeTest.java'],['test1'],{'pmd/regress/test/net/sourceforge/pmd/symboltable/LocalScopeTest.java': ['test1']},"{'Total File': 0, 'Total Tests': 0, 'Files': []}",1,0
2002-10-21 15:43:48,8665d850e7fe7cc630ed69ac5bb1d99a17bc8449,['3f6a4d670554ebbd6b9232cf5625f31b47cfff8c'],['pmd/regress/test/net/sourceforge/pmd/symboltable/LookupControllerTest.java'],['test1'],{'pmd/regress/test/net/sourceforge/pmd/symboltable/LookupControllerTest.java': ['test1']},"{'Total File': 1, 'Total Tests': 1, 'Files': ['pmd/regress/test/net/sourceforge/pmd/symboltable/LookupControllerTest.java']}",1,1
2004-03-02 14:26:52,637c381ead830e189d31cd64633626137a6821d8,['edd6ecb613cef30d63d55879fef8a64442e79593'],['pmd/regress/test/net/sourceforge/pmd/cpd/MarkComparatorTest.java'],['test1'],{'pmd/regress/test/net/sourceforge/pmd/cpd/MarkComparatorTest.java': ['test1']},"{'Total File': 0, 'Total Tests': 0, 'Files': []}",1,0
2004-09-16 14:32:14,008a79cb2db05f6dd22b0ad8eaa43957fe515f1d,['2aef63e9cd598d2da1b80ccbc532fc12582014c3'],['pmd/src/net/sourceforge/pmd/dfa/test/TestClass.java'],"['test_1', 'test_2', 'test_3', 'test_4', 'test_6', 'test_7', 'test_8', 'test_9', 'test_10', 'test_11', 'test_12', 'test_13', 'test_14', 'test_15', 'test_16', 'test_17', 'test_18', 'test_19', 'test_20', 'test_21', 'test_22', 'test_23', 'test_24', 'test_25', 'test_26', 'test_27']","{'pmd/src/net/sourceforge/pmd/dfa/test/TestClass.java': ['test_1', 'test_2', 'test_3', 'test_4', 'test_6', 'test_7', 'test_8', 'test_9', 'test_10', 'test_11', 'test_12', 'test_13', 'test_14', 'test_15', 'test_16', 'test_17', 'test_18', 'test_19', 'test_20', 'test_21', 'test_22', 'test_23', 'test_24', 'test_25', 'test_26', 'test_27']}","{'Total File': 1, 'Total Tests': 26, 'Files': ['pmd/src/net/sourceforge/pmd/dfa/test/TestClass.java']}",26,26
2004-09-17 15:05:45,3da887463bca751b9650d3215aac6d885932ddb6,['b8b433f625c62d483588ece1de062eef19b27adf'],['pmd/regress/test/net/sourceforge/pmd/dfa/AcceptanceTest.java'],['testAll'],{'pmd/regress/test/net/sourceforge/pmd/dfa/AcceptanceTest.java': ['testAll']},"{'Total File': 0, 'Total Tests': 0, 'Files': []}",1,0
2005-08-03 09:14:56,ce6d4a58594e8ae864d88ab35e9c07b8b59a265e,['de709946757119a428e240bfeaab422c138b7d18'],['pmd/regress/test/net/sourceforge/pmd/symboltable/DeclarationFinderTest.java'],['test1'],{'pmd/regress/test/net/sourceforge/pmd/symboltable/DeclarationFinderTest.java': ['test1']},"{'Total File': 1, 'Total Tests': 1, 'Files': ['pmd/regress/test/net/sourceforge/pmd/symboltable/DeclarationFinderTest.java']}",1,1
2006-05-15 13:58:48,cad7d128a07ce3b82a7a0dae81e2caad52915d89,['70762365b3b7b48dff118c26def73c1a051547d0'],['pmd/regress/test/net/sourceforge/pmd/ast/DiscardableNodeCleanerTest.java'],['testFoo'],{'pmd/regress/test/net/sourceforge/pmd/ast/DiscardableNodeCleanerTest.java': ['testFoo']},"{'Total File': 1, 'Total Tests': 1, 'Files': ['pmd/regress/test/net/sourceforge/pmd/ast/DiscardableNodeCleanerTest.java']}",1,1
