Loss,Type
25.0,BCLoss
25.0,BCLoss
17.0,BCLoss
2.0,BCLoss
3.0,BCLoss
1.0,BCLoss
17.0,BCLoss
10.0,BCLoss
6.0,BCLoss
6.0,BCLoss
8.0,BCLoss
9.0,BCLoss
5.0,BCLoss
5.0,BCLoss
3.0,BCLoss
5.0,BCLoss
8.0,BCLoss
9.0,BCLoss
8.0,BCLoss
7.0,BCLoss
9.0,BCLoss
8.0,BCLoss
5.0,BCLoss
3.0,BCLoss
8.0,BCLoss
9.0,BCLoss
10.0,BCLoss
7.0,BCLoss
6.0,BCLoss
2.0,BCLoss
9.0,BCLoss
4.0,BCLoss
2.0,BCLoss
9.0,BCLoss
11.0,BCLoss
2.0,BCLoss
5.0,BCLoss
16.0,BCLoss
14.0,BCLoss
7.0,BCLoss
16.0,BCLoss
14.0,BCLoss
5.0,BCLoss
2.0,BCLoss
7.0,BCLoss
9.0,BCLoss
11.0,BCLoss
7.0,BCLoss
3.0,BCLoss
1.0,BCLoss
2.0,BCLoss
2.0,BCLoss
4.0,BCLoss
2.0,BCLoss
7.0,BCLoss
5.0,BCLoss
4.0,BCLoss
6.0,BCLoss
2.0,BCLoss
2.0,BCLoss
3.0,BCLoss
4.0,BCLoss
3.0,BCLoss
6.0,BCLoss
1.0,BCLoss
4.0,BCLoss
6.0,BCLoss
9.0,BCLoss
9.0,BCLoss
1.0,BCLoss
3.0,BCLoss
5.0,BCLoss
3.0,BCLoss
1.0,BCLoss
3.0,BCLoss
3.0,BCLoss
3.0,BCLoss
3.0,BCLoss
3.0,BCLoss
4.0,BCLoss
3.0,BCLoss
1.0,BCLoss
2.0,BCLoss
1.0,BCLoss
1.0,BCLoss
3.0,BCLoss
2.0,BCLoss
1.0,BCLoss
12.0,LCLoss
33.0,LCLoss
4.0,LCLoss
4.0,LCLoss
4.0,LCLoss
3.0,LCLoss
5.0,LCLoss
8.0,LCLoss
3.0,LCLoss
13.0,LCLoss
17.0,LCLoss
18.0,LCLoss
6.0,LCLoss
11.0,LCLoss
8.0,LCLoss
5.0,LCLoss
6.0,LCLoss
1.0,LCLoss
2.0,LCLoss
3.0,LCLoss
0.0,LCLoss
4.0,LCLoss
1.0,LCLoss
3.0,LCLoss
2.0,LCLoss
3.0,LCLoss
4.0,LCLoss
2.0,LCLoss
4.0,LCLoss
3.0,LCLoss
4.0,LCLoss
4.0,LCLoss
8.0,LCLoss
9.0,LCLoss
5.0,LCLoss
4.0,LCLoss
1.0,LCLoss
2.0,LCLoss
0.0,LCLoss
3.0,LCLoss
2.0,LCLoss
4.0,LCLoss
4.0,LCLoss
8.0,LCLoss
7.0,LCLoss
2.0,LCLoss
3.0,LCLoss
4.0,LCLoss
2.0,LCLoss
4.0,LCLoss
4.0,LCLoss
3.0,LCLoss
1.0,LCLoss
5.0,LCLoss
3.0,LCLoss
5.0,LCLoss
5.0,LCLoss
7.0,LCLoss
7.0,LCLoss
7.0,LCLoss
9.0,LCLoss
7.0,LCLoss
6.0,LCLoss
6.0,LCLoss
7.0,LCLoss
9.0,LCLoss
6.0,LCLoss
3.0,LCLoss
5.0,LCLoss
7.0,LCLoss
5.0,LCLoss
3.0,LCLoss
4.0,LCLoss
3.0,LCLoss
7.0,LCLoss
6.0,LCLoss
6.0,LCLoss
2.0,LCLoss
5.0,LCLoss
6.0,LCLoss
7.0,LCLoss
5.0,LCLoss
6.0,LCLoss
6.0,LCLoss
4.0,LCLoss
5.0,LCLoss
8.0,LCLoss
5.0,LCLoss
8.0,LCLoss
7.0,LCLoss
5.0,LCLoss
4.0,LCLoss
9.0,LCLoss
4.0,LCLoss
4.0,LCLoss
0.0,LCLoss
0.0,LCLoss
0.0,LCLoss
0.0,LCLoss
0.0,LCLoss
0.0,LCLoss
0.0,LCLoss
0.0,LCLoss
0.0001,MSLoss
0.0001,MSLoss
0.0001,MSLoss
0.0002,MSLoss
0.0001,MSLoss
0.0002,MSLoss
0.0004,MSLoss
0.0004,MSLoss
0.0004,MSLoss
0.0007,MSLoss
0.0004,MSLoss
0.0002,MSLoss
0.0001,MSLoss
0.0001,MSLoss
0.0007,MSLoss
0.0007,MSLoss
0.0004,MSLoss
0.0003,MSLoss
0.0002,MSLoss
0.0008,MSLoss
0.0001,MSLoss
0.0007,MSLoss
0.0001,MSLoss
0.0005,MSLoss
0.0001,MSLoss
0.0004,MSLoss
0.0004,MSLoss
0.0003,MSLoss
0.0004,MSLoss
0.0005,MSLoss
0.0003,MSLoss
0.0007,MSLoss
0.0006,MSLoss
0.0007,MSLoss
0.0005,MSLoss
0.0002,MSLoss
0.0002,MSLoss
0.0002,MSLoss
0.0001,MSLoss
0.0001,MSLoss
0.0001,MSLoss
0.0001,MSLoss
0.0001,MSLoss
0.0001,MSLoss
0.0001,MSLoss
0.0002,MSLoss
0.0001,MSLoss
0.0002,MSLoss
0.0001,MSLoss
0.0001,MSLoss
0.0002,MSLoss
0.0001,MSLoss
0.0001,MSLoss
0.0001,MSLoss
0.0001,MSLoss
0.0001,MSLoss
0.0001,MSLoss
0.0001,MSLoss
0.0001,MSLoss
0.0001,MSLoss
0.0001,MSLoss
0.0001,MSLoss
0.0001,MSLoss
0.0001,MSLoss
0.0001,MSLoss
0.0001,MSLoss
